cluster	species	total_pairs	struct_top_pairs	ani_top_pairs	both_top_pairs	struct_enrichment_ratio	ani_enrichment_ratio	struct_p	ani_p	log2_struct_over_ani	neg_log10_min_p	struct_q	ani_q	mode	category
HROM_Genome_1910	Mogibacterium timidum	5151	611	5101	611	2.3723555940789804	19.805868879536625	1.0587805677102089e-83	0.0	-3.0604971029016115	15009.281299383154	5.204006375254894e-83	0.0	ani_enriched	both-enriched
HROM_Genome_1704	HROM_Genome_1704	9790	1278	6793	1144	2.6108281579284216	13.877430107048331	1.1795112916547044e-207	0.0	-2.409702879529619	14485.09946344333	7.229710387671776e-207	0.0	ani_enriched	both-enriched
HROM_Genome_2645	Metamycoplasma salivarium	5456	1236	5107	1226	4.530793147760457	18.72068010162836	0.0	0.0	-2.046355059230652	14027.885912825388	0.0	0.0	ani_enriched	both-enriched
HROM_Genome_2756	Allisonella pneumosintes	3873	309	3873	309	1.5956627558856864	20.00000599852836	2.324938288999386e-15	0.0	-3.645626425120787	11604.847154810455	7.865537977718702e-15	0.0	ani_enriched	both-enriched
HROM_Genome_2854	Anaeroglobus geminatus	5535	759	4479	696	2.7425482480366807	16.18428669691211	2.0738896876313187e-135	0.0	-2.5602158383854707	10781.891412714522	1.1255172158915802e-134	0.0	ani_enriched	both-enriched
HROM_Genome_0353	Alloscardovia omnicolens	3828	894	3657	875	4.670847795894555	19.106588802669336	0.0	0.0	-2.031704476973941	10271.0722989632	0.0	0.0	ani_enriched	both-enriched
HROM_Genome_2656	HROM_Genome_2656	4946	2133	3386	1666	8.625154224597855	13.691876326529927	0.0	0.0	-0.6665728852184889	7146.547112283317	0.0	0.0	both_enriched	both-enriched
HROM_Genome_4990	HROM_Genome_4990	16931	5670	1802	713	6.69777532405976	2.1286404116323965	0.0	2.047983981713078e-191	1.6534766918772208	6777.444485905573	0.0	9.27825786497838e-191	structural_enriched	both-enriched
HROM_Genome_0011	Rothia mucilaginosa [HROM_Genome_0011]	4278	919	2943	879	4.296401475607191	13.758769905018458	2.37223323769138e-306	0.0	-1.6786111479008108	6235.002789855478	1.6479113557829452e-305	0.0	ani_enriched	both-enriched
HROM_Genome_2655	CAJPPJ01 sp905372515	3201	634	2472	536	3.961263293679156	15.445178015733244	1.5723230700921152e-192	0.0	-1.9622784518053673	5730.409905075727	9.308867267249908e-192	0.0	ani_enriched	both-enriched
HROM_Genome_2754	Veillonella sp900550455	21273	5712	1350	542	5.370189172359046	1.269214877920993	0.0	2.468170543886746e-18	2.0806286203238273	5542.518806270843	0.0	7.306345757755652e-18	structural_enriched	both-enriched
HROM_Genome_2548	Streptococcus sobrinus	1770	170	1770	170	1.9209045309321024	20.00000599852836	1.3363956282549022e-15	0.0	-3.3763131993667437	5302.942397903081	4.580671857373711e-15	0.0	ani_enriched	both-enriched
HROM_Genome_0392	Arachnia sp013333945	13861	1393	4517	822	2.009956594470097	6.517569229878984	5.1260770031406826e-129	0.0	-1.696811598648153	5269.030760878633	2.6976627460972684e-128	0.0	ani_enriched	both-enriched
HROM_Genome_1208	Bergeyella_A cardium	1970	328	1830	318	3.3299502373184273	18.578685775282693	2.779489351539847e-80	0.0	-2.478272497982216	4988.163153692498	1.3533775253759443e-79	0.0	ani_enriched	both-enriched
HROM_Genome_3820	Nanogingivalis gingivitcus	3786	2199	2395	1370	11.616485259050148	12.65187912479541	0.0	0.0	-0.1231512122222649	4761.734435763987	0.0	0.0	both_enriched	both-enriched
HROM_Genome_1217	HROM_Genome_1217	59753	4843	9263	1114	1.6210069628449255	3.1004310338287313	2.369684536928554e-226	0.0	-0.9355074438877392	4578.5020714069615	1.5242044984441687e-225	0.0	both_enriched	both-enriched
HROM_Genome_0360	Bifidobacterium dentium	2145	271	1800	232	2.5268072846625578	16.783221816946877	4.876967199492302e-43	0.0	-2.729373496385919	4468.189280803997	2.0999172817648673e-42	0.0	ani_enriched	both-enriched
HROM_Genome_0383	Corynebacterium argentoratense	4465	2283	2369	1308	10.226206874499496	10.61142535509825	0.0	0.0	-0.0533358712542467	4123.035929313066	0.0	0.0	both_enriched	both-enriched
HROM_Genome_3821	Nanogingivalis sp900555945	13504	3762	970	337	5.571684135549741	1.4366118052852863	0.0	3.446220166298198e-28	1.954891463820763	3786.926072590933	0.0	1.0751381476894375e-27	structural_enriched	both-enriched
HROM_Genome_0397	HROM_Genome_0397	1203	307	1203	307	5.103908430214636	20.00000599852836	7.126481295301916e-125	0.0	-1.9685778262478943	3604.0952127979954	3.676135400843859e-124	0.0	ani_enriched	both-enriched
HROM_Genome_0399	Propionibacterium acidifaciens	1649	517	1388	517	6.2704688303451555	16.83445016734831	7.640249744234384e-255	0.0	-1.4238964094321584	3455.0805692615036	5.1695715801897574e-254	0.0	ani_enriched	both-enriched
HROM_Genome_2905	HROM_Genome_2905	3559	791	1831	424	4.4450701727552495	10.289410222901218	1.9638808837432767e-274	0.0	-1.2103644455713782	3113.143244390056	1.3462920268819043e-273	0.0	ani_enriched	both-enriched
HROM_Genome_2914	HROM_Genome_2914	13925	3439	1112	449	4.939319255220038	1.5971279476024085	0.0	1.155875076259238e-50	1.6283935195608272	3062.421411769854	0.0	3.885231707942342e-50	structural_enriched	both-enriched
HROM_Genome_4893	Lautropia dentalis	25425	4503	2664	908	3.5421839532496837	2.095575849757308	0.0	1.4160241075201206e-271	0.7571818283426908	2696.5170285075915	0.0	7.026176762076025e-271	both_enriched	both-enriched
